Product_Link,Product_Name,Rating,Price,Website,Description
"https://www.google.com/shopping/product/7544723143081449517?q=acne+skin+care+products&sca_esv=2e8a42a989b18c72&biw=1280&bih=632&sxsrf=ADLYWIL-4d7RbkyBflis12Vtvp7xG5TtFQ:1718809611715&oq=acne+skin+&gs_lp=Egtwcm9kdWN0cy1jYyIKYWNuZSBza2luICoCCAAyBRAAGIAEMgcQABiABBgKMgUQABiABDIFEAAYgAQyBRAAGIAEMgUQABiABDIFEAAYgAQyBRAAGIAEMgUQABiABDIFEAAYgARIuzdQAFi8InABeACQAQCYAZYBoAH0CKoBBDAuMTC4AQPIAQD4AQGYAgugAqAJqAIBwgIHECMYJxjqAsICChAAGIAEGEMYigWYAwSSBwQxLjEwoAf0Lw&sclient=products-cc&prds=eto:856113082452806670_0,pid:2490344584073396017,rsk:PC_16603238960186735342&sa=X&ved=0ahUKEwi2uP3i-ueGAxVvzDgGHcLACqgQ8gII9hIoAA",No More Active Acne Kit| The Derma Co,1.01,₹ 898.00,The DermaCo.,Salicylic Acid · Oil-free
https://satwanaturals.com/products/acne-defense-daily-weekly-regime,Complete Acne Care Regime (Daily & Weekly Routine),0,"₹ 1,605.00",satwa naturals,
https://www.myntra.com/face-wash-and-cleanser/himalaya/himalaya-set-of-2-purifying-neem-face-wash-for-acne-prone-skin/15063264/buy,Himalaya Set of 2 Purifying Neem Face Wash for Acne-Prone Skin (Pack) by Myntra,0,₹ 262.00,Myntra,
https://thedermaco.com/product/salicylic-acid-anti-acne-combo?srsltid=AfmBOopan2Z71O5jWZAnNCL7AFPcb0D0nVIqsMDULxn8e1rCc1dcZmCSrug,Salicylic Acid Anti-Acne Combo (FaceWash + Serum)| The Derma Co,0,₹ 598.00,The DermaCo.,Face Wash · Serum
https://www.meesho.com/pore-control-serum-salicylic-acid-niacinamide-anti-acne-face-serum-fights-blackheads-whiteheads-pore-tightening-controls-oil-30ml/p/55hmuv?srsltid=AfmBOooyMf9ISPaYq0HL069LvxD-XErgOeQhwhX72IeN_plUy3PfnH5xV_E,Pore Control Serum Salicylic Acid + Niacinamide Anti Acne Face Serum - Fights ...,0,₹ 140.00,Meesho,Salicylic Acid · Serum
"https://www.google.com/shopping/product/6641510328326761127?q=acne+skin+care+products&sca_esv=2e8a42a989b18c72&biw=1280&bih=632&sxsrf=ADLYWIL-4d7RbkyBflis12Vtvp7xG5TtFQ:1718809611715&oq=acne+skin+&gs_lp=Egtwcm9kdWN0cy1jYyIKYWNuZSBza2luICoCCAAyBRAAGIAEMgcQABiABBgKMgUQABiABDIFEAAYgAQyBRAAGIAEMgUQABiABDIFEAAYgAQyBRAAGIAEMgUQABiABDIFEAAYgARIuzdQAFi8InABeACQAQCYAZYBoAH0CKoBBDAuMTC4AQPIAQD4AQGYAgugAqAJqAIBwgIHECMYJxjqAsICChAAGIAEGEMYigWYAwSSBwQxLjEwoAf0Lw&sclient=products-cc&prds=eto:1207923200083335190_0,pid:4207715778586977574&sa=X&ved=0ahUKEwi2uP3i-ueGAxVvzDgGHcLACqgQ8gIIoRIoAA","NEUD Rapid Clearance Acne Treatment Serum with Salicylic Acid, Bakuchiol ...",0,₹ 468.00,NEUD,Topical · Salicylic Acid
https://www.google.com/url?url=https://skinkraft.com/pages/skin-4stepplan%3Futm_source%3Dgoogleshoppingskincare%26utm_medium%3Dcpc%26utm_campaign%3DG_skinshopping4Products%26srsltid%3DAfmBOop88nAYnyj0J2TVArsfgKbPV6pR3lWSZfLVhuchpI1Qj25bER5B5qA&rct=j&q=&esrc=s&opi=95576897&sa=U&ved=0ahUKEwi2uP3i-ueGAxVvzDgGHcLACqgQ1SkIvxIoAA&usg=AOvVaw1aomDpS0FLWlnPLB4TH7Ph,"SkinKraft 4 Step Customized Skincare Regimen - Acne Face Cream, Moisturizing ...",0,"₹ 1,399.00",SkinKraft,
"https://www.google.com/shopping/product/14911779031907312442?q=acne+skin+care+products&sca_esv=2e8a42a989b18c72&biw=1280&bih=632&sxsrf=ADLYWIL-4d7RbkyBflis12Vtvp7xG5TtFQ:1718809611715&oq=acne+skin+&gs_lp=Egtwcm9kdWN0cy1jYyIKYWNuZSBza2luICoCCAAyBRAAGIAEMgcQABiABBgKMgUQABiABDIFEAAYgAQyBRAAGIAEMgUQABiABDIFEAAYgAQyBRAAGIAEMgUQABiABDIFEAAYgARIuzdQAFi8InABeACQAQCYAZYBoAH0CKoBBDAuMTC4AQPIAQD4AQGYAgugAqAJqAIBwgIHECMYJxjqAsICChAAGIAEGEMYigWYAwSSBwQxLjEwoAf0Lw&sclient=products-cc&prds=eto:1385916087316050137_0,pid:15112340584610502977&sa=X&ved=0ahUKEwi2uP3i-ueGAxVvzDgGHcLACqgQ8gIIyxIoAA",Minimalist Oily Skincare Kit,0,"₹ 1,199.00",AJIO.com,
"https://www.google.com/shopping/product/18044969049076747449?q=acne+skin+care+products&sca_esv=2e8a42a989b18c72&biw=1280&bih=632&sxsrf=ADLYWIL-4d7RbkyBflis12Vtvp7xG5TtFQ:1718809611715&oq=acne+skin+&gs_lp=Egtwcm9kdWN0cy1jYyIKYWNuZSBza2luICoCCAAyBRAAGIAEMgcQABiABBgKMgUQABiABDIFEAAYgAQyBRAAGIAEMgUQABiABDIFEAAYgAQyBRAAGIAEMgUQABiABDIFEAAYgARIuzdQAFi8InABeACQAQCYAZYBoAH0CKoBBDAuMTC4AQPIAQD4AQGYAgugAqAJqAIBwgIHECMYJxjqAsICChAAGIAEGEMYigWYAwSSBwQxLjEwoAf0Lw&sclient=products-cc&prds=eto:2661569174426621092_0,pid:14023754780380176323&sa=X&ved=0ahUKEwi2uP3i-ueGAxVvzDgGHcLACqgQ8gII2BIoAA",Acne - X Topical X-KIT: The Anti Acne Kit,0,"₹ 1,797.00",JioMart,
"https://www.google.com/shopping/product/1595396696650527213?q=acne+skin+care+products&sca_esv=2e8a42a989b18c72&biw=1280&bih=632&sxsrf=ADLYWIL-4d7RbkyBflis12Vtvp7xG5TtFQ:1718809611715&oq=acne+skin+&gs_lp=Egtwcm9kdWN0cy1jYyIKYWNuZSBza2luICoCCAAyBRAAGIAEMgcQABiABBgKMgUQABiABDIFEAAYgAQyBRAAGIAEMgUQABiABDIFEAAYgAQyBRAAGIAEMgUQABiABDIFEAAYgARIuzdQAFi8InABeACQAQCYAZYBoAH0CKoBBDAuMTC4AQPIAQD4AQGYAgugAqAJqAIBwgIHECMYJxjqAsICChAAGIAEGEMYigWYAwSSBwQxLjEwoAf0Lw&sclient=products-cc&prds=eto:4911791292376586044_0,pid:7960999514289523380&sa=X&ved=0ahUKEwi2uP3i-ueGAxVvzDgGHcLACqgQ8gII5RIoAA","Alps Goodness Acne Control Facewash For Dry Skin with Cinnamon, Salicylic Acid ...",0,₹ 146.00,Redfynd.com,Face Wash · For Dry Skin
