Product_Link,Product_Name,Rating,Description,Price,Website
https://www.google.com/url?url=https://www.meesho.com/coffee-shea-body-butter-moisturizer-72hrs-moisturization-reduces-stretch-marks-heals-dry-skin-body-butter-lotion-cream-for-women-men-non-sticky-for-all-skin-types-50gm/p/2wmk5n%3Fsrsltid%3DAfmBOopHQMJnaGlrBr_0niPvlZ5bkGf1deENK5Gr_waKHvRXsaoKHm0hHx8&rct=j&q=&esrc=s&opi=95576897&sa=U&ved=0ahUKEwiMofLm_eeGAxW7yzgGHbTxDQAQ1SkI_RIoAA&usg=AOvVaw1bCNZy5zefHo16UDgaIBT9,"Coffee & Shea Body Butter Moisturizer | 72Hrs Moisturization, Reduces Stretch ...",0,Shea Butter · Cream,154,Meesho
https://www.google.com/url?url=http://www.flipkart.com/quat-moisturizing-collagen-cream-dry-skin-very-women-men/p/itmcc1c0e928d72d%3Fpid%3DFRNGXE3YQ52ZHAPQ%26lid%3DLSTFRNGXE3YQ52ZHAPQUJ3ZVP%26marketplace%3DFLIPKART%26cmpid%3Dcontent_fairness_8965229628_gmc&rct=j&q=&esrc=s&opi=95576897&sa=U&ved=0ahUKEwiMofLm_eeGAxW7yzgGHbTxDQAQ1SkIixMoAA&usg=AOvVaw3RL0WqlqUAbeV6eKYL0XH6,Quat Moisturizing Collagen Cream For Dry Skin To Very Dry Skin For Women And Men,0,For Dry Skin · Jar · Cream,99,Flipkart
https://www.google.com/url?url=https://www.nykaa.com/cerave-cleanser-moisturizer-duo-for-dry-skin/p/13287965%3Fptype%3Dproduct%26skuId%3D13287965%26srsltid%3DAfmBOorNRiQAcaLsXMs-Hk4O1sRH9goUl9mY9syga8XkyoSXCB4ue53OMsQ&rct=j&q=&esrc=s&opi=95576897&sa=U&ved=0ahUKEwiMofLm_eeGAxW7yzgGHbTxDQAQ1SkIqhMoAA&usg=AOvVaw2c2TLuuJ3rtvxZEKwgStZz,CeraVe Daily Duo For Normal To Dry Skin With Facewash & Moisturizer At Nykaa ...,0,,714,Nykaa
"https://www.google.com/shopping/product/6287220643080374740?q=dry+skin+products&sca_esv=2e8a42a989b18c72&biw=1280&bih=632&sxsrf=ADLYWIJ114XZC5JeYdjSSuxQlPV4WOa2AA:1718810149096&oq=&gs_lp=Egtwcm9kdWN0cy1jYyIAKgIIATIHECMYJxjqAjIHECMYJxjqAkjZE1AAWABwAXgAkAEAmAEAoAEAqgEAuAEByAEA-AEBmAIBoAIFqAICmAMFkgcBMaAHAA&sclient=products-cc&prds=eto:14980380886207256291_0,pid:12806532088024186038&sa=X&ved=0ahUKEwiMofLm_eeGAxW7yzgGHbTxDQAQ8gIIthMoAA",Aqualogica Daily Dewy Skin Combo,0,,1498,Aqualogica
https://www.google.com/url?url=https://www.tatacliq.com/snaana-dry-skin-products-kit/p-mp000000009824543&rct=j&q=&esrc=s&opi=95576897&sa=U&ved=0ahUKEwiMofLm_eeGAxW7yzgGHbTxDQAQ1SkIwhMoAA&usg=AOvVaw1T-DmYNYrVk0I47Apiy99L,SNAANA Dry Skin Products Kit,0,,1357,Tata CLiQ Lifestyle
https://www.google.com/url?url=https://uoloc.com/dhathri-dry-dkin-treatment-kit-with-moisturizing-aloe-vera-beauty-gel-shea-butter-body-wash-shea-butter-hand-cream-350ml%3Fsrsltid%3DAfmBOorNfjRmr7Nch0TOj3kb-JhDDZfrzimWu7xYRSohSFDbzyKWZRnvNEo&rct=j&q=&esrc=s&opi=95576897&sa=U&ved=0ahUKEwiMofLm_eeGAxW7yzgGHbTxDQAQ1SkIzhMoAA&usg=AOvVaw1-Zi1GZ3HwbZnsh62U0tgJ,Dhathri Dry Skin Treatment Kit (350ml),0,,243.75,Uoloc
https://www.google.com/url?url=https://glamveda.com/products/glass-skin-rice-ceramide-moisturizer%3Fvariant%3D43053821165737%26currency%3DINR%26utm_medium%3Dproduct_sync%26utm_source%3Dgoogle%26utm_content%3Dsag_organic%26utm_campaign%3Dsag_organic%26srsltid%3DAfmBOorOCet4Uo9rCTbJAkutf_lyoGnXmlixJwTJM7Eeov4xXSzXBv0yl6E&rct=j&q=&esrc=s&opi=95576897&sa=U&ved=0ahUKEwiMofLm_eeGAxW7yzgGHbTxDQAQ1SkI2hMoAA&usg=AOvVaw1ciyTmjHZrAU6wO7N2-q7b,Glamveda Glass Skin Rice & Ceramide Moisturizer | Glass Skin Moisturizer,0,,259,Glamveda
https://www.google.com/url?url=http://www.myntra.com/Day-Cream/REJUSURE/Rejusure-Ceramide-2--Hyaluronic-Acid-1-q-For-Dry-Skin/14792082/buy&rct=j&q=&esrc=s&opi=95576897&sa=U&ved=0ahUKEwiMofLm_eeGAxW7yzgGHbTxDQAQ1SkI6RMoAA&usg=AOvVaw0cFN7S2tukJXzgZ1i_mZMX,Rejusure Ceramide 2% + Hyaluronic Acid 1% q For Dry Skin (35-50 ML) by Myntra,0,Ceramides · For Dry Skin,309,Myntra
https://www.google.com/url?url=https://www.purplle.com/track%3Fdpl%3D1%26redirect%3Dhttps%253A%252F%252Fwww.purplle.com%252Fproduct%252Fdot-and-key-summer-hydration-and-barrier-repair-combo%26srsltid%3DAfmBOooiBUufNP28uwZiMOKJzaTWz6YC3rl5UBE7HzxQdtdvrFl0klnFibU&rct=j&q=&esrc=s&opi=95576897&sa=U&ved=0ahUKEwiMofLm_eeGAxW7yzgGHbTxDQAQ1SkI9xMoAA&usg=AOvVaw3OyOdbBM2H8ooOM1xy4X9q,Dot & Key Summer Hydration & Barrier Repair Combo - 160g | Face Cleanser ...,0,,595,Purplle.com
https://www.google.com/url?url=https://www.amazon.in/CS-Essentials-Moisturizer-Lighten-Glowing/dp/B09ZXBZH46%3Fsource%3Dps-sl-shoppingads-lpcontext%26ref_%3Dfplfs%26psc%3D1%26smid%3DA359W2UEGYZT7H&rct=j&q=&esrc=s&opi=95576897&sa=U&ved=0ahUKEwiMofLm_eeGAxW7yzgGHbTxDQAQ1SkIgxQoAA&usg=AOvVaw1Qs1CxHH4Tfdsr8adHQNEv,"CS Essentials Skin Fuel Moisturizer Daily Moisturizer for Dry Skin,Lighten Skin ...",0,Day · Anti-ageing · Wrinkles,598,Amazon.in
https://www.google.com/url?url=https://www.seekskincare.com/products/copy-of-seek-skincare-cream-moisturiser-with-aloe-and-hyaluronic-acid%3Fvariant%3D39881242738752%26currency%3DINR%26utm_medium%3Dproduct_sync%26utm_source%3Dgoogle%26utm_content%3Dsag_organic%26utm_campaign%3Dsag_organic%26srsltid%3DAfmBOoo5zzA0bKxZgje3EUi_Jc-h6MVvslCxhxKKveLo0Qj-coRvAwUqXbQ&rct=j&q=&esrc=s&opi=95576897&sa=U&ved=0ahUKEwiMofLm_eeGAxW7yzgGHbTxDQAQ1SkIkhQoAA&usg=AOvVaw1hbxt5s2n7bKblTULLuSUq,Seek Cream Moisturiser Aloe & Hyaluronic acid- normal to dry skin 100 g,0,For Dry Skin · Aloe · Cream,949,Seek Skincare & Wellness
https://www.google.com/url?url=https://web.olivaclinic.com/product/44001102/%3Fsrsltid%3DAfmBOorTaToWYiAtuUSdKkKa2KLJFanyD_hYh5wKtrIuRuBoY9pInTYfdgE&rct=j&q=&esrc=s&opi=95576897&sa=U&ved=0ahUKEwiMofLm_eeGAxW7yzgGHbTxDQAQ1SkIohQoAA&usg=AOvVaw07Q43HhDAyv47UpkwEQBtV,Oliva Skin Essential Kit - Dry / Sensitive Skin,0,,1450,Oliva Clinic
https://www.google.com/url?url=https://www.dotandkey.com/collections/combo-regimes/products/moisturize-protect-duo%3Fsrsltid%3DAfmBOoqmXso8-xpKGWFqF0ajA3tgxU9lM9qtiUyFf8p0uehXXzhWrMlV9vw&rct=j&q=&esrc=s&opi=95576897&sa=U&ved=0ahUKEwiMofLm_eeGAxW7yzgGHbTxDQAQ1SkIvxQoAA&usg=AOvVaw1KlrGIx5oQk0MqiPJvKsbL,"Dot & Key Moisturize & Protect Power Duo | Face Moisturizer 100gm, Sunscreen 50gm",0,,588,Dot & Key
"https://www.google.com/shopping/product/17799364535817046667?q=dry+skin+products&sca_esv=2e8a42a989b18c72&biw=1280&bih=632&sxsrf=ADLYWIJ114XZC5JeYdjSSuxQlPV4WOa2AA:1718810149096&oq=&gs_lp=Egtwcm9kdWN0cy1jYyIAKgIIATIHECMYJxjqAjIHECMYJxjqAkjZE1AAWABwAXgAkAEAmAEAoAEAqgEAuAEByAEA-AEBmAIBoAIFqAICmAMFkgcBMaAHAA&sclient=products-cc&prds=eto:15466871573995980626_0,pid:17463208945963949294&sa=X&ved=0ahUKEwiMofLm_eeGAxW7yzgGHbTxDQAQ8gII3hQoAA",Sandalnut Bloom Moisturiser for Dry Skin [Vegan] Online | 82°E by Deepika,0,,2700,82e.com
https://www.google.com/url?url=https://skinkraft.com/pages/skin-5stepplan%3Fsrsltid%3DAfmBOooTi2GMTHYKcWxk2HQ0zb1vlsSj1c1bOa4ZN2p0WQkR32s3YrzxYX8&rct=j&q=&esrc=s&opi=95576897&sa=U&ved=0ahUKEwiMofLm_eeGAxW7yzgGHbTxDQAQ1SkI6xQoAA&usg=AOvVaw1-9gLYNLip_93SgZ1kmY4_,Buy India’s First Customized Skin Care Regimen – SkinKraft,0,,1499,SkinKraft
https://www.google.com/url?url=https://www.shopsy.in/elibliss-advanced-deep-nourish-intensive-care-moisture-body-lotion/p/itmbfd3c2d3f40b8%3Fpid%3DMZMGGBZ5ZFS6CKER%26lid%3DLSTMZMGGBZ5ZFS6CKER3OCAF3%26marketplace%3DFLIPKART&rct=j&q=&esrc=s&opi=95576897&sa=U&ved=0ahUKEwiMofLm_eeGAxW7yzgGHbTxDQAQ1SkIiRUoAA&usg=AOvVaw1FcMi7pakh3T3cCGbYcKaD,"Elibliss Advanced Deep Nourish, Intensive Care Deep Moisture Body Lotion",0,For Dry Skin · Cream,61,Shopsy By Flipkart
https://www.google.com/url?url=https://skininspired.in/products/ceramide-cream-moisturizer%3Fvariant%3D44729163284757%26currency%3DINR%26utm_medium%3Dproduct_sync%26utm_source%3Dgoogle%26utm_content%3Dsag_organic%26utm_campaign%3Dsag_organic%26srsltid%3DAfmBOorxYzPekDR9Rh3rLPepKcOWZXqWG0Qlg-elcADSJ-2-Nn85K2A-HPU&rct=j&q=&esrc=s&opi=95576897&sa=U&ved=0ahUKEwiMofLm_eeGAxW7yzgGHbTxDQAQ1SkIlxUoAA&usg=AOvVaw0jUS9qvTTAr2EWJdsC4gTN,SkinInspired Ceramide Face Cream Moisturiser for Dry Skin,0,Cocoa Butter · Ceramides,949,SkinInspired
https://www.google.com/url?url=https://khadiorganique.com/products/dry-skin-care-combo%3Fvariant%3D45755806482707%26currency%3DINR%26utm_medium%3Dproduct_sync%26utm_source%3Dgoogle%26utm_content%3Dsag_organic%26utm_campaign%3Dsag_organic%26srsltid%3DAfmBOor7yiVfP4mOPl9K_kL7yB1Dz7u-ORoHswvb8dzjARmmhrO7huke9mg&rct=j&q=&esrc=s&opi=95576897&sa=U&ved=0ahUKEwiMofLm_eeGAxW7yzgGHbTxDQAQ1SkIwhUoAA&usg=AOvVaw2u_ehOSsRsRlYqLw-jnywm,Khadi Organique Dry Skin Care Combo | Skin Care Routine for Dry Skin,0,,325,Khadi Organique
https://www.google.com/url?url=http://www.flipkart.com/cerasoft-moisturising-cream-soothing-softening-repair-normal-dry-skin/p/itmddb4880d59032%3Fpid%3DMSCGNTPPAYTWYMKH%26lid%3DLSTMSCGNTPPAYTWYMKHXQICXG%26marketplace%3DFLIPKART%26cmpid%3Dcontent_moisturizer-cream_8965229628_gmc&rct=j&q=&esrc=s&opi=95576897&sa=U&ved=0ahUKEwiMofLm_eeGAxW7yzgGHbTxDQAQ1SkI3xUoAA&usg=AOvVaw2y1NPap27ZqZqVJuhKLlk4,Cerasoft Moisturising Cream | Soothing | Softening | Repair For Normal To Dry Skin,0,For Dry Skin · Cream,335,Flipkart
https://www.google.com/url?url=https://www.1mg.com/otc/dermadew-glow-cream-with-vitamin-e-almond-oil-olive-extract-moisturises-skin-otc322742%3Fsrsltid%3DAfmBOooeLbRgaBzA5zl06-HhP_pjyR70KC2KSXLq6RNR6ZAGwlFjAUzv-6A&rct=j&q=&esrc=s&opi=95576897&sa=U&ved=0ahUKEwiMofLm_eeGAxW7yzgGHbTxDQAQ1SkI7xUoAA&usg=AOvVaw0aEzk8WR6_dzkyfVD0gBJ5,Dermadew Glow Cream With Vitamin E Almond Oil Olive Extract Moisturises Skin,0,For All Skin Types · Tube,324,1mg
https://www.google.com/url?url=https://www.amazon.in/Skinovate-Recovery-Moisturizer-Hydrating-Quantity/dp/B0BZZ79KPQ%3Fsource%3Dps-sl-shoppingads-lpcontext%26ref_%3Dfplfs%26psc%3D1%26smid%3DA2YNSU9HC090TS&rct=j&q=&esrc=s&opi=95576897&sa=U&ved=0ahUKEwiMofLm_eeGAxW7yzgGHbTxDQAQ1SkInRYoAA&usg=AOvVaw0K8wb-ozwVbSA-W-x210JY,Skinovate Fast Skin Recovery Natural Moisturizer | Long Lasting Skin Hydrating ...,0,Shea Butter · Anti-ageing,586,Amazon.in
"https://www.google.com/shopping/product/2951243366915075285?q=dry+skin+products&sca_esv=2e8a42a989b18c72&biw=1280&bih=632&sxsrf=ADLYWIJ114XZC5JeYdjSSuxQlPV4WOa2AA:1718810149096&oq=&gs_lp=Egtwcm9kdWN0cy1jYyIAKgIIATIHECMYJxjqAjIHECMYJxjqAkjZE1AAWABwAXgAkAEAmAEAoAEAqgEAuAEByAEA-AEBmAIBoAIFqAICmAMFkgcBMaAHAA&sclient=products-cc&prds=eto:10983055714587159864_0,pid:9269446817131079283&sa=X&ved=0ahUKEwiMofLm_eeGAxW7yzgGHbTxDQAQ8gIIvhYoAA","Nature Derma Daily Routine Starter Kit For Dry Skin - Nourished, Strengthened ...",0,,719,Nature Derma
