Product_Link,Product_Name,Rating,Description,Price,Website
"https://www.google.com/shopping/product/14911779031907312442?sca_esv=453f36eb1da0db3c&rlz=1C1VDKB_enIN978IN978&sxsrf=ADLYWIK8JROFhb3voktLonYWDsCm7-QQEQ:1718888729937&q=oily+skincare+products&fbs=AEQNm0BJU8HQC3fzNpLzBMuBiMvVRr8BSz33Xp3ghdPGS7xtz4DkKjUwhIZpLqvxYvXFn9vUbxaHayUNqeV8H65C6InRL58TaRIgLWzQD5SxGotCxotPNQAUPXOMJuUV3F-7mbgk8WYbOGelu6b6i3SdgKxXePmzr4aFTaViGgMugpefcc9r5uQoGYlgnUcptcYVjVSVhW9XjqNlH7PQQ5bmcN12WR3RYQ&ictx=111&biw=1536&bih=695&dpr=1.25&prds=eto:1385916087316050137_0,pid:15112340584610502977&sa=X&ved=0ahUKEwj71_LDn-qGAxWKSmwGHRhVB5AQ8gII5xIoAA",Minimalist Oily Skincare Kit,0,,1199,AJIO.com
"https://www.google.com/shopping/product/2364967572050249254?sca_esv=453f36eb1da0db3c&rlz=1C1VDKB_enIN978IN978&sxsrf=ADLYWIK8JROFhb3voktLonYWDsCm7-QQEQ:1718888729937&q=oily+skincare+products&fbs=AEQNm0BJU8HQC3fzNpLzBMuBiMvVRr8BSz33Xp3ghdPGS7xtz4DkKjUwhIZpLqvxYvXFn9vUbxaHayUNqeV8H65C6InRL58TaRIgLWzQD5SxGotCxotPNQAUPXOMJuUV3F-7mbgk8WYbOGelu6b6i3SdgKxXePmzr4aFTaViGgMugpefcc9r5uQoGYlgnUcptcYVjVSVhW9XjqNlH7PQQ5bmcN12WR3RYQ&ictx=111&biw=1536&bih=695&dpr=1.25&prds=eto:1688973943437405480_0,pid:9948160064794524225&sa=X&ved=0ahUKEwj71_LDn-qGAxWKSmwGHRhVB5AQ8gIImRMoAA",No More Oily Skin Kit| The Derma Co,0,,842,The DermaCo.
"https://www.google.com/shopping/product/16908162033349936394?sca_esv=453f36eb1da0db3c&rlz=1C1VDKB_enIN978IN978&sxsrf=ADLYWIK8JROFhb3voktLonYWDsCm7-QQEQ:1718888729937&q=oily+skincare+products&fbs=AEQNm0BJU8HQC3fzNpLzBMuBiMvVRr8BSz33Xp3ghdPGS7xtz4DkKjUwhIZpLqvxYvXFn9vUbxaHayUNqeV8H65C6InRL58TaRIgLWzQD5SxGotCxotPNQAUPXOMJuUV3F-7mbgk8WYbOGelu6b6i3SdgKxXePmzr4aFTaViGgMugpefcc9r5uQoGYlgnUcptcYVjVSVhW9XjqNlH7PQQ5bmcN12WR3RYQ&ictx=111&biw=1536&bih=695&dpr=1.25&prds=eto:8177008614406087076_0,pid:2637847323460544498&sa=X&ved=0ahUKEwj71_LDn-qGAxWKSmwGHRhVB5AQ8gIIpxMoAA",Recode Face Wash for Oily Skin - 100 ml,0,,99,Recode Studios
"https://www.google.com/shopping/product/12601941037880707036?sca_esv=453f36eb1da0db3c&rlz=1C1VDKB_enIN978IN978&sxsrf=ADLYWIK8JROFhb3voktLonYWDsCm7-QQEQ:1718888729937&q=oily+skincare+products&fbs=AEQNm0BJU8HQC3fzNpLzBMuBiMvVRr8BSz33Xp3ghdPGS7xtz4DkKjUwhIZpLqvxYvXFn9vUbxaHayUNqeV8H65C6InRL58TaRIgLWzQD5SxGotCxotPNQAUPXOMJuUV3F-7mbgk8WYbOGelu6b6i3SdgKxXePmzr4aFTaViGgMugpefcc9r5uQoGYlgnUcptcYVjVSVhW9XjqNlH7PQQ5bmcN12WR3RYQ&ictx=111&biw=1536&bih=695&dpr=1.25&prds=eto:8777520551082910049_0,pid:10721099441184591855&sa=X&ved=0ahUKEwj71_LDn-qGAxWKSmwGHRhVB5AQ8gIItBMoAA",Oil Control Face Wash + Aloe Vera Face Wash,0,,380,Oxyglow Cosmetics
"https://www.google.com/shopping/product/17137205917930666723?sca_esv=453f36eb1da0db3c&rlz=1C1VDKB_enIN978IN978&sxsrf=ADLYWIK8JROFhb3voktLonYWDsCm7-QQEQ:1718888729937&q=oily+skincare+products&fbs=AEQNm0BJU8HQC3fzNpLzBMuBiMvVRr8BSz33Xp3ghdPGS7xtz4DkKjUwhIZpLqvxYvXFn9vUbxaHayUNqeV8H65C6InRL58TaRIgLWzQD5SxGotCxotPNQAUPXOMJuUV3F-7mbgk8WYbOGelu6b6i3SdgKxXePmzr4aFTaViGgMugpefcc9r5uQoGYlgnUcptcYVjVSVhW9XjqNlH7PQQ5bmcN12WR3RYQ&ictx=111&biw=1536&bih=695&dpr=1.25&prds=eto:1645442220357429706_0,pid:5362554786511489659&sa=X&ved=0ahUKEwj71_LDn-qGAxWKSmwGHRhVB5AQ8gIIwRMoAA",The Ordinary The Clear Set,0,,1275,BEAUTY BAY
"https://www.google.com/shopping/product/10707982972067285518?sca_esv=453f36eb1da0db3c&rlz=1C1VDKB_enIN978IN978&sxsrf=ADLYWIK8JROFhb3voktLonYWDsCm7-QQEQ:1718888729937&q=oily+skincare+products&fbs=AEQNm0BJU8HQC3fzNpLzBMuBiMvVRr8BSz33Xp3ghdPGS7xtz4DkKjUwhIZpLqvxYvXFn9vUbxaHayUNqeV8H65C6InRL58TaRIgLWzQD5SxGotCxotPNQAUPXOMJuUV3F-7mbgk8WYbOGelu6b6i3SdgKxXePmzr4aFTaViGgMugpefcc9r5uQoGYlgnUcptcYVjVSVhW9XjqNlH7PQQ5bmcN12WR3RYQ&ictx=111&biw=1536&bih=695&dpr=1.25&prds=eto:13252316164512445062_0,pid:5709792067180429761&sa=X&ved=0ahUKEwj71_LDn-qGAxWKSmwGHRhVB5AQ8gII7RMoAA","Pilgrim 10% Niacinamide Face Serum For Acne Marks (10ml) At Nykaa, Best Beauty ...",0,Face · Niacinamide · Bottle,191,Myntra
https://www.google.com/url?url=https://www.gabit.com/skin/bundle/oily-skin-essentials-kit/SC0010&rct=j&q=&esrc=s&opi=95576897&sa=U&ved=0ahUKEwj71_LDn-qGAxWKSmwGHRhVB5AQ1SkImRQoAA&usg=AOvVaw3Nk8Zk57QK2fqjLem12vJQ,Gabit Oily Skin Essentials Kit - Salicylic Acid Face Wash and Salicylic & Green ...,0,,680,Gabit
"https://www.google.com/shopping/product/9012031494282977233?sca_esv=453f36eb1da0db3c&rlz=1C1VDKB_enIN978IN978&sxsrf=ADLYWIK8JROFhb3voktLonYWDsCm7-QQEQ:1718888729937&q=oily+skincare+products&fbs=AEQNm0BJU8HQC3fzNpLzBMuBiMvVRr8BSz33Xp3ghdPGS7xtz4DkKjUwhIZpLqvxYvXFn9vUbxaHayUNqeV8H65C6InRL58TaRIgLWzQD5SxGotCxotPNQAUPXOMJuUV3F-7mbgk8WYbOGelu6b6i3SdgKxXePmzr4aFTaViGgMugpefcc9r5uQoGYlgnUcptcYVjVSVhW9XjqNlH7PQQ5bmcN12WR3RYQ&ictx=111&biw=1536&bih=695&dpr=1.25&prds=eto:4437576683998201916_0,pid:2384880186558952275&sa=X&ved=0ahUKEwj71_LDn-qGAxWKSmwGHRhVB5AQ8gIIpRQoAA",Alps Goodness Acne Control French Green Clay Mask for Oily Skin with Tea Tree ...,0,Face · Mask · Clay · Peel-off,183,Redfynd.com
"https://www.google.com/shopping/product/18216445074058816360?sca_esv=453f36eb1da0db3c&rlz=1C1VDKB_enIN978IN978&sxsrf=ADLYWIK8JROFhb3voktLonYWDsCm7-QQEQ:1718888729937&q=oily+skincare+products&fbs=AEQNm0BJU8HQC3fzNpLzBMuBiMvVRr8BSz33Xp3ghdPGS7xtz4DkKjUwhIZpLqvxYvXFn9vUbxaHayUNqeV8H65C6InRL58TaRIgLWzQD5SxGotCxotPNQAUPXOMJuUV3F-7mbgk8WYbOGelu6b6i3SdgKxXePmzr4aFTaViGgMugpefcc9r5uQoGYlgnUcptcYVjVSVhW9XjqNlH7PQQ5bmcN12WR3RYQ&ictx=111&biw=1536&bih=695&dpr=1.25&prds=eto:14141320419544786501_0,pid:10977819556983973396&sa=X&ved=0ahUKEwj71_LDn-qGAxWKSmwGHRhVB5AQ8gIIthQoAA","WIDEWINGS Oil-Absorbing Volcanic Stone Face Roller, Reusable Facial Skincare Tool ...",0,Cleansing,249,Amazon.in
https://www.google.com/url?url=https://www.purplle.com/track%3Fdpl%3D1%26redirect%3Dhttps%253A%252F%252Fwww.purplle.com%252Fproduct%252Fprovalo-cleanse-and-glow-essentials-combo-for-normal-to-oily-skin-men%26srsltid%3DAfmBOorGxOY6pqFDHGKNCitNHDIF4S9byRSO1AqXmJ9Vw0CMadh8xI88cKY&rct=j&q=&esrc=s&opi=95576897&sa=U&ved=0ahUKEwj71_LDn-qGAxWKSmwGHRhVB5AQ1SkIwxQoAA&usg=AOvVaw0sXK6seXbdegRX-1zCNrdC,Provalo Cleanse And Glow Essentials Combo For Normal To Oily Skin (Men)(Skin Care ...,0,,874,Purplle.com
